Account name,แชทบอทสถาบันการศึกษา
Time zone,'+09:00
Downloaded on,2021/08/23 17:41
Sender type,Sender name,Date,Time,Message
Account,Auto-response,2021/08/05,17:16:23,"สวัสดี คุณ Sheeshhhh(hello)
ขอบคุณที่เป็นเพื่อนกับ แชทบอทสถาบันการศึกษา

หากไม่ต้องการรับข้อความจากบัญชีทางการนี้ โปรดแตะปุ่มเมนูที่มุมขวาบนของหน้าจอแล้วปิดการแจ้งเตือน"
User,เกลือ,2021/08/05,17:16:33,เรียนยากมั้ย
Account,Unknown,2021/08/05,17:16:35,ถ้าชอบเขียนโค้ดก็ไม่ยากครับ
User,เกลือ,2021/08/05,17:16:45,สวัสดีจ้า
Account,Unknown,2021/08/05,17:16:45,สวัสดีครับ
