message
อยากไปที่สาขาต้องไปที่ไหน
อยากไปสาขาต้องไปที่ไหนคะ
เปดเทอมวันไหนหรอคะ
ขอวันสอบจ้า
อยากเข้าเรียนที่นี้ต้องทำยังไงคะ
ขอข้อมูลที่พักหน่อยครับ
เรียนนานแค่ไหน
สบายดีไหม
บาย
บาย
บ๊ายบาย
อยากได้ที่พัก
อยากได้ที่พัก
บาย
บายครับ
บายจ๊ะ
บายครับ
บายครับ
บายค่ะ
