centroids_id,number,sse
0,28,0.0
1,10,6.162975822039156e-32
2,11,6.101346063818762e-31
3,5,0.0
4,13,8.011868568650903e-31
5,40,4.9303806576313245e-30
6,7,1.0785207688568523e-31
7,12,4.4373425918681905e-31
8,10,1.540743955509789e-31
9,7,1.7256332301709635e-31
10,6,0.0
11,7,2.1570415377137042e-32
12,8,0.0
13,6,0.0
14,11,4.067564042545841e-31
15,7,2.1570415377137042e-32
16,11,2.7117093616972285e-31
17,8,1.2325951644078312e-31
18,6,1.4791141972893974e-31
19,16,0.0
20,7,1.7256332301709635e-31
21,5,0.0
22,5,1.5407439555097887e-32
-1,257,243.99199044538813
