text,centroids_id,dist_score
ตึกสาขาตั้งอยู่ตรงไหนคะ,-1,0.9795265620732126
ตึกสาขาอยู่ตรงไหน,-1,0.9792851498037053
ดรอปเรียนยังไงคะ,-1,0.961829010662697
เว็บไซต์สาขาคืออันไหนคะ,-1,0.9920275408666748
เปิดเทอมเมื่อไหร่,-1,1.0117835698162554
ขอดูหลักสูตรค่ะ,-1,0.9809817201193354
เทอมนี้เรียนอะไรบ้าง,-1,0.9453756746868289
ขอเว็บไซต์ติดต่อหน่อยค่ะ,-1,0.9844243962932351
ขอบใจนะ,-1,0.9989045648507983
สาขาอยู่ไหน,-1,0.9785676246279349
ขอหลักสูตรของสาขาหน่อยค่ะ,-1,0.9639824071643038
เรียนจบในกีปี่คะ,-1,1.007904767145969
มีหอพักป่าว,-1,0.9676572519852477
ต้องเรียนแมทกี่ตัวคะ,-1,0.9546495975510568
เรียนจบไปทำอะไรได้บ้างคะ,-1,0.962611369556917
ขอบคุณนะคะ,-1,1.0048419017938437
ต้องเรียนอะไรมาถึงเข้าได้คะ,-1,0.9565863302733537
ต้องเรียนจบสายไหนถึงเข้าได้หรอคะ,-1,0.9587308197352091
จำเป็นต้องจบสายไหนถึงเข้าได้คะ,-1,0.9690232468497874
เรียนกี่ปีจบหรอคะ,-1,0.9457209394189623
ถ้าจะดรอปเรียนต้องทำยังไงคะ,-1,0.9619151183454079
ถ้าอยากดรอปเรียนต้องทำยังไงบ้างคะ,-1,0.961441625800235
เรียนจบในกี่ปีหรอคะ,-1,0.9851049596149144
ขอดูหลักสูตรหน่อยได้ไหมคะ,-1,0.9435249250586175
ขอดูหลักสูตรสาขาค่ะ,-1,0.966164244859759
ขอหลักสูตรค่ะ,-1,0.9771074031404299
เทอมนี้เปิดเทอมวันไหน,-1,0.9682606639787715
เปิดเทอมเมื่อไร,-1,1.0058926550599891
เรียนจบแล้วทำอะไร,-1,0.9958320724096952
เริ่มลงทะเบียนวันไหนคะ,-1,0.987916164575798
มีหอพักในมอไหม,-1,0.9775625426216257
มีหอพักให้พักไหมคะ,-1,0.9777468210008712
ที่นี่เรียนยากไหมคะ,-1,0.9390223253012607
มีหอพักป่าว,-1,0.9676572519852477
จบไปทำงานอะไรได้บ้างคะ,-1,0.9467634985516273
ครอปเรียนต้องทำยังไงคะ,-1,0.9753650944947355
ขอบคุณนะครับ,-1,1.0003295845568103
เริ่มลงทะเบียนเรียนตอนไหน,-1,0.998731730852967
ให้ลงทะเบียนวันไหน,-1,0.9875061509278786
เรียนยากไหมม,-1,0.9714687256638916
มีแมทกี่ตัวคะ,-1,0.979598754741511
ตึกสาขาอยู่ที่ไหนครับ,-1,0.9842694695610879
ค่าหอเท่าไหร่,-1,0.9855338512149769
ค่าเทอมกี่บาท,-1,0.9663904198809583
ขอรายวิชาในสาขาหน่อย,-1,0.9810036000568368
